datetime,pos_eci_x,pos_eci_y,pos_eci_z,latitude,longitude
12:45:00 AM,-7604866.424,-7164702.294,-7342066.992,-35.28150999,-36.85039056
12:46:00 AM,-7342768.767,-7232502.939,-7539731.3,-36.37200366,-35.8234361
12:47:00 AM,-7075611.669,-7295320.12,-7732200.453,-37.44837932,-34.76054915
12:48:00 AM,-6803579.211,-7353110.556,-7919341.833,-38.50966827,-33.65974474
12:49:00 AM,-6526858.835,-7405834.424,-8101026.492,-39.55483865,-32.51898313
12:50:00 AM,-6245641.21,-7453455.398,-8277129.243,-40.58279163,-31.33617756
12:51:00 AM,-5960120.107,-7495940.663,-8447528.744,-41.59235773,-30.10920469
12:52:00 AM,-5670492.259,-7533260.947,-8612107.584,-42.5822933,-28.83591814
12:53:00 AM,-5376957.231,-7565390.535,-8770752.362,-43.55127729,-27.51416571
12:54:00 AM,-5079717.28,-7592307.287,-8923353.765,-44.49790849,-26.14181069
12:55:00 AM,-4778977.215,-7613992.657,-9069806.646,-45.42070341,-24.71675791
12:56:00 AM,-4474944.257,-7630431.703,-9210010.093,-46.31809497,-23.23698502
12:57:00 AM,-4167827.896,-7641613.098,-9343867.501,-47.18843231,-21.7005794
12:58:00 AM,-3857839.747,-7647529.138,-9471286.637,-48.02998195,-20.10578114
12:59:00 AM,-3545193.403,-7648175.746,-9592179.705,-48.84093059,-18.45103225
1:00:00 AM,-3230104.289,-7643552.477,-9706463.404,-49.61938998,-16.73503197
1:01:00 AM,-2912789.513,-7633662.516,-9814058.989,-50.36340409,-14.95679779
1:02:00 AM,-2593467.717,-7618512.678,-9914892.323,-51.07095897,-13.11573139
1:03:00 AM,-2272358.925,-7598113.401,-10008893.93,-51.73999562,-11.21168801
1:04:00 AM,-1949684.393,-7572478.742,-10095999.03,-52.36842612,-9.245047274
1:05:00 AM,-1625666.456,-7541626.364,-10176147.62,-52.95415316,-7.216782808
1:06:00 AM,-1300528.375,-7505577.525,-10249284.46,-53.49509301,-5.128527308
1:07:00 AM,-974494.1815,-7464357.064,-10315359.17,-53.98920181,-2.982629054
1:08:00 AM,-647788.5252,-7417993.384,-10374326.2,-54.43450479,-0.782195558
1:09:00 AM,-320636.5185,-7366518.43,-10426144.95,-54.82912781,1.468880232
1:10:00 AM,6736.418634,-7309967.672,-10470779.69,-55.17133046,3.765915505
1:11:00 AM,334104.7142,-7248380.074,-10508199.67,-55.45953953,6.103458621
1:12:00 AM,661242.7991,-7181798.073,-10538379.12,-55.69238163,8.475338154
1:13:00 AM,987925.2632,-7110267.546,-10561297.23,-55.86871355,10.8747409
1:14:00 AM,1313927.01,-7033837.781,-10576938.21,-55.9876488,13.29431784
1:15:00 AM,1639023.412,-6952561.44,-10585291.29,-56.04857911,15.72631494
1:16:00 AM,1962990.467,-6866494.525,-10586350.71,-56.05118959,18.16272362
1:17:00 AM,2285604.948,-6775696.341,-10580115.74,-55.99546669,20.59544389
1:18:00 AM,2606644.562,-6680229.451,-10566590.68,-55.88169858,23.01645222
1:19:00 AM,2925888.101,-6580159.633,-10545784.85,-55.7104678,25.41796546
1:20:00 AM,3243115.595,-6475555.842,-10517712.57,-55.48263674,27.79259269
1:21:00 AM,3558108.461,-6366490.152,-10482393.21,-55.19932667,30.13346809
1:22:00 AM,3870649.658,-6253037.713,-10439851.08,-54.86189159,32.43435922
1:23:00 AM,4180523.834,-6135276.699,-10390115.51,-54.47188814,34.68974766
1:24:00 AM,4487517.474,-6013288.252,-10333220.76,-54.03104314,36.89488056
1:25:00 AM,4791419.047,-5887156.425,-10269206.04,-53.54122012,39.04579418
1:26:00 AM,5092019.155,-5756968.129,-10198115.46,-53.00438617,41.13931152
1:27:00 AM,5389110.672,-5622813.068,-10119997.99,-52.42258021,43.17301796
1:28:00 AM,5682488.892,-5484783.679,-10034907.47,-51.79788351,45.14521895
1:29:00 AM,5971951.665,-5342975.071,-9942902.529,-51.13239316,47.05488446
1:30:00 AM,6257299.542,-5197484.955,-9844046.555,-50.42819876,48.90158454
1:31:00 AM,6538335.907,-5048413.578,-9738407.668,-49.6873626,50.68541995
1:32:00 AM,6814867.116,-4895863.656,-9626058.656,-48.91190323,52.4069513
1:33:00 AM,7086702.628,-4739940.303,-9507076.932,-48.10378231,54.06712948
1:34:00 AM,7353655.138,-4580750.955,-9381544.478,-47.26489449,55.66722937
1:35:00 AM,7615540.707,-4418405.298,-9249547.792,-46.39705998,57.20878828
1:36:00 AM,7872178.885,-4253015.197,-9111177.823,-45.50201955,58.69355017
1:37:00 AM,8123392.84,-4084694.61,-8966529.915,-44.58143153,60.12341582
1:38:00 AM,8369009.475,-3913559.517,-8815703.734,-43.63687049,61.50039939
1:39:00 AM,8608859.551,-3739727.835,-8658803.205,-42.66982736,62.82659086
1:40:00 AM,8842777.803,-3563319.342,-8495936.44,-41.68171064,64.10412438
1:41:00 AM,9070603.053,-3384455.59,-8327215.658,-40.67384843,65.3351517
1:42:00 AM,9292178.32,-3203259.822,-8152757.116,-39.64749119,66.52182046
